Steps;Cars
618600;141
618900;148
619200;144
619500;137
619800;149
620100;154
620400;151
620700;132
621000;15
621300;136
621600;134
621900;139
622200;139
622500;13
622800;145
623100;161
623400;144
623700;145
624000;141
624300;125
624600;122
624900;133
625200;14
625500;147
625800;139
626100;145
626400;144
626700;134
627000;139
627300;138
627600;153
627900;143
628200;145
628500;144
628800;132
629100;135
629400;134
629700;144
630000;135
630300;135
630600;144
630900;141
631200;131
631500;138
631800;144
632100;144
632400;142
632700;145
633000;147
633300;149
633600;145
633900;142
634200;146
634500;147
634800;142
635100;146
635400;142
635700;148
636000;133
636300;145
636600;14
636900;136
637200;151
637500;143
637800;147
638100;14
638400;117
638700;152
639000;119
639300;159
639600;143
639900;152
640200;144
640500;138
640800;134
641100;144
641400;142
641700;138
642000;138
642300;141
642600;146
642900;148
643200;149
643500;134
643800;156
644100;126
644400;154
644700;134
645000;161
645300;134
645600;157
645900;148
646200;14
646500;136
646800;133
647100;123
647400;146
647700;143
648000;126
648300;139
648600;145
648900;148
649200;152
649500;142
649800;142
650100;145
650400;139
650700;147
651000;119
651300;125
651600;135
651900;15
652200;117
652500;145
652800;144
653100;138
653400;14
653700;145
654000;14
654300;133
654600;161
654900;133
655200;139
655500;154
655800;143
656100;149
656400;157
656700;132
657000;134
657300;128
657600;137
657900;153
658200;137
658500;146
658800;14
659100;143
659400;147
659700;132
660000;156
660300;145
660600;133
660900;157
661200;148
661500;15
661800;144
662100;144
662400;14
662700;149
663000;134
663300;147
663600;138
663900;139
664200;147
664500;138
664800;143
665100;151
665400;145
665700;14
666000;138
666300;147
666600;139
666900;126
667200;124
667500;155
667800;139
668100;131
668400;144
668700;148
669000;137
669300;137
669600;144
669900;151
670200;139
670500;132
670800;152
671100;141
671400;162
671700;137
672000;135
672300;126
672600;146
672900;13
673200;145
673500;149
673800;129
674100;15
674400;147
674700;139
675300;136
675600;155
675900;139
676200;155
676500;15
676800;145
677100;128
677400;146
677700;144
678000;138
678300;153
678600;132
678900;127
679200;15
679500;144
679800;149
680100;14
680400;127
680700;125
681000;122
681300;132
681600;148
681900;149
682200;146
682500;137
682800;152
683100;138
683400;135
683700;146
684000;153
684300;123
684600;143
684900;151
685200;144
685500;139
685800;152
686100;127
686400;144
686700;141
687000;142
687300;144
687600;138
687900;151
688200;142
688500;143
688800;147
689100;152
689400;12
689700;102
690000;98
690300;121
690600;122
690900;128
691200;132
691500;136
691800;83
692100;46
692400;144
692700;163
693000;157
693300;149
693600;141
693900;148
694200;144
694500;137
694800;149
695100;154
695400;151
695700;132
696000;15
696300;136
696600;134
696900;139
697200;139
697500;13
697800;145
698100;161
698400;144
698700;145
699000;141
699300;125
699600;122
699900;133
700200;14
700500;147
700800;139
701100;145
701400;144
701700;134
702000;139
702300;138
702600;153
702900;143
703200;145
703500;144
703800;132
704100;135
704400;134
704700;144
705000;135
705300;135
705600;144
705900;141
706200;131
706500;138
706800;144
707100;144
707400;142
707700;145
708000;147
708300;149
708600;145
708900;142
709200;146
709500;147
709800;142
710100;146
710400;142
710700;148
711000;133
711300;145
711600;14
711900;136
712200;151
712500;143
712800;147
713100;14
713400;117
713700;152
714000;119
714300;159
714600;143
714900;152
715200;144
715500;138
715800;134
716100;144
716400;142
716700;138
717000;138
717300;141
717600;146
717900;148
718200;149
718500;134
718800;156
719100;126
719400;154
719700;134
720000;161
720300;134
720600;157
720900;148
721200;14
721500;136
721800;133
722100;123
722400;146
722700;143
723000;126
723300;139
723600;145
723900;148
724200;152
724500;142
724800;142
725100;145
725400;139
725700;147
726000;119
726300;125
726600;135
726900;15
727200;117
727500;145
727800;144
728100;138
728400;14
728700;145
729000;14
729300;133
729600;161
729900;133
730200;139
730500;154
730800;143
731100;149
731400;157
731700;132
732000;134
732300;128
732600;137
732900;153
733200;137
733500;146
733800;14
734100;143
734400;147
734700;132
735000;156
735300;145
735600;133
735900;157
736200;148
736500;15
736800;144
737100;144
737400;14
737700;149
738000;134
738300;147
738600;138
738900;139
739200;147
739500;138
739800;143
740100;151
740400;145
740700;14
741000;138
741300;147
741600;139
741900;126
742200;124
742500;155
742800;139
743100;131
743400;144
743700;148
744000;137
744300;137
744600;144
744900;151
745200;139
745500;132
745800;152
746100;141
746400;162
746700;137
747000;135
747300;126
747600;146
747900;13
748200;145
748500;149
748800;129
749100;15
749400;147
749700;139
750300;136
750600;155
750900;139
751200;155
751500;15
751800;145
752100;128
752400;146
752700;144
753000;138
753300;153
753600;132
753900;127
754200;15
754500;144
754800;149
755100;14
755400;127
755700;125
756000;122
756300;132
756600;148
756900;149
757200;146
757500;137
757800;152
758100;138
758400;135
758700;146
759000;153
759300;123
759600;143
759900;151
760200;144
760500;139
760800;152
761100;127
761400;144
761700;141
762000;142
762300;144
762600;138
762900;151
763200;142
763500;143
763800;147
764100;152
764400;12
764700;102
765000;98
765300;121
765600;122
765900;128
766200;132
766500;136
766800;83
767100;46
767400;144
767700;163
768000;157
768300;149
768600;141
768900;148
769200;144
769500;137
769800;149
770100;154
770400;151
770700;132
771000;15
771300;136
771600;134
771900;139
772200;139
772500;13
772800;145
773100;161
773400;144
773700;145
774000;141
774300;125
774600;122
774900;133
775200;14
775500;147
775800;139
776100;145
776400;144
776700;134
777000;139
777300;138
777600;153
777900;143
778200;145
778500;144
778800;132
779100;135
779400;134
779700;144
780000;135
780300;135
780600;144
780900;141
781200;131
781500;138
781800;144
782100;144
782400;142
782700;145
783000;147
783300;149
783600;145
783900;142
784200;146
784500;147
784800;142
785100;146
785400;142
785700;148
786000;133
786300;145
786600;14
786900;136
787200;151
787500;143
787800;147
788100;14
788400;117
788700;152
789000;119
789300;159
789600;143
789900;152
790200;144
790500;138
790800;134
791100;144
791400;142
791700;138
792000;138
792300;141
792600;146
792900;148
793200;149
793500;134
793800;156
794100;126
794400;154
794700;134
795000;161
795300;134
795600;157
795900;148
796200;14
796500;136
796800;133
797100;123
797400;146
797700;143
798000;126
798300;139
798600;145
798900;148
799200;152
799500;142
799800;142
800100;145
800400;139
800700;147
801000;119
801300;125
801600;135
801900;15
802200;117
802500;145
802800;144
803100;138
803400;14
803700;145
804000;14
804300;133
804600;161
804900;133
805200;139
805500;154
805800;143
806100;149
806400;157
806700;132
807000;134
807300;128
807600;137
807900;153
808200;137
808500;146
808800;14
809100;143
809400;147
809700;132
810000;156
810300;145
810600;133
810900;157
811200;148
811500;15
811800;144
812100;144
812400;14
812700;149
813000;134
